source_id,jurisdiction,regulator,document_type,document_title,instrument_id,url,url_verified,verification_method,file_format,date_published,commencement_date,currency_version_date,legislative_currency,hazard_category,industry_relevance,priority_tier,pre_harmonisation,license_notes,ingestable,ingest_caveat,download_attempted,notes
FED-COP-008,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Hazardous manual tasks,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-hazardous-manual-tasks,false,search_snippet,PDF,2020-03-20,,,CURRENT,MANUAL_HANDLING,ALL,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Covers musculoskeletal disorders (MSDs) — there is NO separate standalone 'musculoskeletal disorders' model code; MSDs are addressed here. URL confirmed via SWA search snippet.
FED-COP-009,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Healthcare and social assistance industry,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-healthcare-and-social-assistance-industry,false,search_snippet,HTML,,,,CURRENT,GENERAL,HEALTH,1,n/a,CC-BY-4.0,true,"Online/HTML code — confirm whether a downloadable PDF exists for chunking, or whether HTML scrape is required.",,"New industry-specific model code (TEMPLATE) — covers hazardous manual tasks, fatigue, psychosocial, OVA, biological/chemical exposures for hospitals, aged care, disability and home-based care. Existence confirmed via SWA search snippet ('Healthcare and Social Assistance Industry' model code). Published as an online/HTML code. NOT in legacy '24' list. Broad multi-hazard industry code -> GENERAL. Confirm exact title casing and HTML-vs-PDF format at build time."
FED-COP-010,FED,Safe Work Australia,code_of_practice,Model Code of Practice: How to manage and control asbestos in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-how-manage-and-control-asbestos-workplace,false,search_snippet,PDF,,,,CURRENT,CHEMICAL,"CONSTRUCTION,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA search snippet; /doc/ slug follows standard SWA pattern. Asbestos -> CHEMICAL per mapping.
FED-COP-011,FED,Safe Work Australia,code_of_practice,Model Code of Practice: How to manage work health and safety risks,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-how-manage-work-health-and-safety-risks,false,search_snippet,PDF,,,,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE) — an approved code only where a jurisdiction adopts it. URL confirmed via SWA search snippet.
FED-COP-012,FED,Safe Work Australia,code_of_practice,Model Code of Practice: How to safely remove asbestos,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-how-safely-remove-asbestos,false,search_snippet,PDF,,,,CURRENT,CHEMICAL,"CONSTRUCTION,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA search snippet; /doc/ slug follows standard SWA pattern. Asbestos -> CHEMICAL per mapping.
FED-COP-013,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Labelling of workplace hazardous chemicals,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-labelling-workplace-hazardous-chemicals,true,direct_fetch,PDF,,,,CURRENT,CHEMICAL,"MANUFACTURING,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-014,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing electrical risks in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-electrical-risks-workplace,true,direct_fetch,PDF,,,,CURRENT,ELECTRICAL,"CONSTRUCTION,MANUFACTURING,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-015,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing noise and preventing hearing loss at work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-noise-and-preventing-hearing-loss-work,true,direct_fetch,PDF,,,,CURRENT,NOISE,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.  [gap-review] Retagged NOISE (new hazard_category) to remove the split.
FED-COP-016,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing psychosocial hazards at work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-psychosocial-hazards-work,false,search_snippet,PDF,2022,,,CURRENT,PSYCHOSOCIAL,ALL,1,n/a,CC-BY-4.0,true,,,"Model code (TEMPLATE). URL confirmed via SWA search snippet. Covers bullying, fatigue, remote/isolated work, sexual harassment as psychosocial hazards. Read with the separate Sexual and gender-based harassment model code."
FED-COP-017,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing risks in stevedoring,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risks-stevedoring,false,search_snippet,PDF,,,,CURRENT,PLANT_EQUIPMENT,TRANSPORT,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA search snippet; /doc/ slug follows standard SWA pattern.
FED-COP-018,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing risks of hazardous chemicals in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risks-hazardous-chemicals-workplace,true,direct_fetch,PDF,,,,CURRENT,CHEMICAL,"MANUFACTURING,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-019,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing risks of plant in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risks-plant-workplace,false,search_snippet,PDF,,,,CURRENT,PLANT_EQUIPMENT,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). SWA published an update to this code. Currency CURRENT. URL confirmed via SWA search snippet.
FED-COP-020,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing risks of respirable crystalline silica in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risks-respirable-crystalline-silica-workplace,false,search_snippet,PDF,2025-08,,2025-11,CURRENT,CHEMICAL,"CONSTRUCTION,MANUFACTURING,MINING",1,n/a,CC-BY-4.0,true,,,"CORRECTED: Model code (TEMPLATE), broader RCS code covering all crystalline-silica substances (not just engineered stone). PUBLISHED AUGUST 2025 — the canonical PDF is modelcop_managing-risks-respirable-crystalline-silica_AUG2025.pdf (the enumerator's 'nov2025.pdf' filename was UNVERIFIED/likely fabricated). Minor updates were made Nov 2025 (pp.40,41,61: professional titles & reporting obligations) — hence currency_version_date 2025-11, date_published 2025-08. /doc/ landing URL kept (stable canonical); confirmed via SWA search snippet. Distinct from the engineered-stone code. Silica -> CHEMICAL."
FED-COP-021,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing the risk of falls at workplaces,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risk-falls-workplaces,true,direct_fetch,PDF,,,,CURRENT,FALLS,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-022,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing the risk of fatigue at work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risk-fatigue-work,false,search_snippet,PDF,2025-09,,2025-09,CURRENT,PSYCHOSOCIAL,"ALL,TRANSPORT",1,n/a,CC-BY-4.0,true,,,"New model code (TEMPLATE), Sept 2025 — CONFIRMED via SWA news 'New model Code of Practice on managing the risk of fatigue at work' and the direct PDF modelcop_fatigue_sept2025.pdf. date_published set to 2025-09 (was blank). Replaces the older 2013 fatigue guide. /doc/ slug confirmed via search snippet. Fatigue -> PSYCHOSOCIAL."
FED-COP-023,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing the risks of biological hazards at work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-risks-biological-hazards-work,false,search_snippet,PDF,2026-03,,2026-03,CURRENT,CHEMICAL,"HEALTH,ALL",1,n/a,CC-BY-4.0,true,,,New model code (TEMPLATE) — released MARCH 2026 (date_published added; was blank). Described by SWA as 'the first Code of its kind in the world'. /doc/ slug CONFIRMED via SWA search snippet. NOT in legacy '24' list. No dedicated BIOLOGICAL enum exists; mapped to CHEMICAL (exposure/substance hazard) — FLAG for reviewer: biological hazard is conceptually distinct from chemical.
FED-COP-024,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing the risks of respirable crystalline silica from engineered stone in the workplace,,https://www.safeworkaustralia.gov.au/sites/default/files/2023-11/safe_work_australia-model_code_of_practice_-_respirable_crystalline_silica_from_engineered_stone_in_the_workplace-_november_2023.pdf,true,direct_fetch,PDF,2023-11,,2023-11,CURRENT,CHEMICAL,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,"Model code (TEMPLATE), Nov 2023, engineered-stone specific. Direct PDF URL CONFIRMED verbatim via SWA search results (sites/default/files/2023-11/...). Title corrected to full official form ('Managing the risks of respirable crystalline silica from engineered stone in the workplace'). Remains relevant despite the engineered-stone ban (from 1 Jul/1 Sep 2024) because legacy removal/repair/disposal work is still permitted. Distinct from the broader RCS code (separate row). Silica -> CHEMICAL per mapping."
FED-COP-025,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Managing the work environment and facilities,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-managing-work-environment-and-facilities,false,search_snippet,PDF,,,,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet.
FED-COP-026,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Preparation of safety data sheets for hazardous chemicals,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-preparation-safety-data-sheets-hazardous-chemicals,true,direct_fetch,PDF,,,,CURRENT,CHEMICAL,"MANUFACTURING,ALL",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-027,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Safe design of structures,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-safe-design-structures,true,direct_fetch,PDF,,,,CURRENT,GENERAL,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-028,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Sexual and gender-based harassment,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-sexual-and-gender-based-harassment,false,search_snippet,PDF,2023-12,,2023-12,CURRENT,PSYCHOSOCIAL,ALL,1,n/a,CC-BY-4.0,true,,,"Model code (TEMPLATE), published Dec 2023. /doc/ slug CONFIRMED via SWA search snippet; direct PDF also surfaced (sites/default/files/2023-12/model_code_of_practice_-_sexual_and_gender-based_harassment.pdf). date_published corrected to 2023-12 (the enumerator's '2023-12-20' specific day was not independently confirmed). Respect@Work positive duty -> PSYCHOSOCIAL."
FED-COP-029,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Spray painting and powder coating,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-spray-painting-and-powder-coating,false,search_snippet,PDF,,,,CURRENT,CHEMICAL,MANUFACTURING,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet.
FED-COP-030,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Welding processes,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-welding-processes,false,search_snippet,PDF,,,,CURRENT,PLANT_EQUIPMENT,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA search snippet; /doc/ slug follows standard SWA pattern.
FED-COP-031,FED,Safe Work Australia,code_of_practice,"Model Code of Practice: Work health and safety consultation, cooperation and coordination",,https://www.safeworkaustralia.gov.au/doc/model-code-practice-work-health-and-safety-consultation-cooperation-and-coordination,false,search_snippet,PDF,,,,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet. Relevant to contractor/multi-PCBU duties.
FED-COP-032,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Tower cranes,,https://www.safeworkaustralia.gov.au/sites/default/files/2023-06/tower_crane_model_code_of_practice_-_june23.pdf,false,search_snippet,PDF,2023-06-19,,,CURRENT,PLANT_EQUIPMENT,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Genuine SWA model COP (Jun 2023). Added per 2026-06-30 gap review.
FED-GUI-001,FED,Safe Work Australia,guidance,Asbestos — Managing risks,,https://www.safeworkaustralia.gov.au/safety-topic/hazards/asbestos/managing-risks,false,search_snippet,HTML,,,,UNDER_REVIEW,CHEMICAL,"CONSTRUCTION,ALL",2,n/a,CC-BY-4.0,true,,,"SWA asbestos managing-risks guidance hub (asbestos register, management plan, competent-person identification, hierarchy of controls). URL CONFIRMED exact via search snippet. NOTE: SWA is conducting a comprehensive review of the model WHS asbestos framework (Regs, Codes, guidance) — flagged UNDER_REVIEW so the assembler re-checks at build time. Thematic HTML guidance distinct from the model Code 'How to manage and control asbestos in the workplace' (owned by FED jurisdiction node). SWA times out on fetch."
FED-GUI-002,FED,Safe Work Australia,guidance,Confined spaces,,https://www.safeworkaustralia.gov.au/duties-tool/construction/hazards-information/confined-spaces,false,regulator_index,HTML,,,,CURRENT,CONFINED_SPACES,"CONSTRUCTION,MANUFACTURING,TRANSPORT",2,n/a,CC-BY-4.0,true,,,SWA confined-spaces guidance (mandatory written risk assessment by competent person; atmospheric testing; entry permit/standby; training). URL CORRECTED: enumerator's /safety-topic/hazards/confined-spaces did not resolve to a managing-risks hub; confirmed SWA guidance page is /duties-tool/construction/hazards-information/confined-spaces (canonical /doc page: /doc/model-code-practice-confined-spaces — the Nov 2024 code is owned by FED jurisdiction node). SWA times out on fetch.
FED-GUI-003,FED,Safe Work Australia,guidance,Crystalline silica and silicosis — Silica resources,,https://www.safeworkaustralia.gov.au/safety-topic/hazards/silica/silica-resources,false,search_snippet,HTML,,,,CURRENT,CHEMICAL,"CONSTRUCTION,MANUFACTURING,MINING",2,n/a,CC-BY-4.0,true,,,SWA crystalline silica / silicosis resources hub. URL CORRECTED: enumerator's /safety-topic/hazards/crystalline-silica-and-silicosis/resources did not resolve; confirmed live resources hub is /safety-topic/hazards/silica/silica-resources (topic landing: /safety-topic/hazards/crystalline-silica-and-silicosis). Thematic guidance distinct from the model RCS / engineered-stone codes (owned by FED jurisdiction node). Related deep page: /doc/css-guide-resources-processing-crystalline-silica-substance-risk-management-process. SWA times out on fetch.
FED-GUI-004,FED,Safe Work Australia,guidance,Electrical safety — Managing risks,,https://www.safeworkaustralia.gov.au/safety-topic/hazards/electrical-safety/managing-risks,false,search_snippet,HTML,,,,CURRENT,ELECTRICAL,"CONSTRUCTION,MANUFACTURING,ALL",2,n/a,CC-BY-4.0,true,,,SWA electrical-safety managing-risks guidance hub (shock/burns/fire/ignition; licensed electricians only; RCDs/safety switches; inspection & testing by competent person). URL CONFIRMED exact via search snippet. Thematic HTML guidance distinct from the model Code 'Managing electrical risks in the workplace' (owned by FED jurisdiction node). SWA times out on fetch.
FED-GUI-005,FED,Safe Work Australia,guidance,Guide for managing the risk of fatigue at work,,https://www.safeworkaustralia.gov.au/doc/guide-managing-risk-fatigue-work,false,search_snippet,PDF,2013-11,,,SUPERSEDED,PSYCHOSOCIAL,"TRANSPORT,MINING,HEALTH,ALL",3,n/a,CC-BY-4.0,true,,,"CORRECTED currency from VERIFY to SUPERSEDED. SWA published a new model Code of Practice 'Managing the risk of fatigue at work' (Sept 2025 — https://www.safeworkaustralia.gov.au/sites/default/files/2025-09/modelcop_fatigue_sept2025.pdf, owned by FED jurisdiction node) which supersedes this 2013 GUIDE as the authoritative SWA position on fatigue. Retain only as superseded/background context; prefer the new code. Priority lowered to 3."
FED-GUI-006,FED,Safe Work Australia,guidance,How to determine what is reasonably practicable to meet a health and safety duty,,https://www.safeworkaustralia.gov.au/doc/how-determine-what-reasonably-practicable-meet-health-and-safety-duty,false,search_snippet,PDF,,,,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Foundational SWA guideline interpreting the 'reasonably practicable' standard (two-element test; weighing risk vs cost; what duty holder knows/ought to know) under the model WHS Act. High-value cross-cutting guidance. /doc/ landing URL CONFIRMED via search snippet. (Enumerator's deep PDF path /system/files/.../2002/ not re-verified; use the /doc/ landing page which is canonical.) SWA times out on fetch.
FED-GUI-007,FED,Safe Work Australia,guidance,"Lifting, pushing and pulling (manual tasks)",,https://www.safeworkaustralia.gov.au/safety-topic/hazards/lifting-pushing-and-pulling-manual-tasks,false,search_snippet,HTML,,,,CURRENT,MANUAL_HANDLING,"HEALTH,MANUFACTURING,CONSTRUCTION,ALL",2,n/a,CC-BY-4.0,true,,,"SWA hazardous-manual-tasks / MSD guidance hub (repetitive/sustained force, awkward postures, vibration; good work design as primary control). URL CORRECTED: enumerator's /safety-topic/hazards/hazardous-manual-tasks did not resolve; the confirmed live SWA topic slug is /safety-topic/hazards/lifting-pushing-and-pulling-manual-tasks. Thematic HTML guidance distinct from the model Code 'Hazardous manual tasks' (owned by FED jurisdiction node). SWA times out on fetch."
FED-GUI-008,FED,Safe Work Australia,guidance,Plant — Managing risks,,https://www.safeworkaustralia.gov.au/safety-topic/managing-health-and-safety/plant-supply-design-and-registration/managing-risks,false,search_snippet,HTML,,,,CURRENT,PLANT_EQUIPMENT,"MANUFACTURING,CONSTRUCTION,MINING",2,n/a,CC-BY-4.0,true,,,SWA plant managing-risks guidance hub (guarding; isolation/LOTO for maintenance; plant a major cause of work-related death/injury). URL CORRECTED: enumerator's best-guess /safety-topic/hazards/plant did not resolve; confirmed live page is /safety-topic/managing-health-and-safety/plant-supply-design-and-registration/managing-risks. legislative_currency upgraded VERIFY->CURRENT now that the live slug is confirmed. Thematic HTML guidance distinct from the model Code 'Managing the risks of plant in the workplace' (owned by FED jurisdiction node). SWA times out on fetch.
FED-GUI-009,FED,Safe Work Australia,guidance,Preventing workplace sexual harassment: National guidance material,,https://www.safeworkaustralia.gov.au/sites/default/files/2021-06/Guide%20for%20preventing%20workplace%20sexual%20harassment.pdf,false,search_snippet,PDF,2021-01,,2021-01,CURRENT,PSYCHOSOCIAL,ALL,2,n/a,CC-BY-4.0,true,,,"SWA 'Preventing workplace sexual harassment National guidance material JANUARY 2021'. URL corrected to the confirmed direct PDF (2021-06 path) — the enumerator's /safety-topic/.../resources slug is the hub, not the guide itself. Relevant to Respect@Work positive duty (Sex Discrimination Act 1984) read with WHS psychosocial duties. Title/URL confirmed via search snippet; SWA times out on fetch. NOTE: a model Code of Practice 'Sexual and gender-based harassment' now also exists (owned by FED jurisdiction node)."
FED-GUI-010,FED,Safe Work Australia,guidance,Preventing workplace violence and aggression: National guidance material,,https://www.safeworkaustralia.gov.au/doc/preventing-workplace-violence-and-aggression-guide,false,search_snippet,PDF,2021-06,,,CURRENT,OVA,"HEALTH,TRANSPORT,ALL",2,n/a,CC-BY-4.0,true,,,"SWA national guidance on managing workplace violence and aggression (incl. gendered violence), based on the model WHS laws. Distinct from any model code; thematic guidance. /doc/ landing URL confirmed via search snippet (SWA direct fetch times out, as expected). Canonical PDF: https://www.safeworkaustralia.gov.au/sites/default/files/2021-06/Guide%20for%20preventing%20workplace%20violence%20and%20aggression.pdf (note: 2021-06 publication path, NOT the 2021-01 path the enumerator listed — corrected)."
FED-GUI-011,FED,Safe Work Australia,guidance,Principles of good work design: A work health and safety handbook,,https://www.safeworkaustralia.gov.au/doc/principles-good-work-design,false,search_snippet,PDF,,,,CURRENT,GENERAL,ALL,2,n/a,CC-BY-4.0,true,,,SWA handbook — 10 principles of good work design applicable to any workplace; foundational for designing-out psychosocial and physical hazards. /doc/ URL CONFIRMED via search snippet. Direct PDF: /system/files/documents/1702/good-work-design-handbook.pdf (also DOCX). SWA times out on fetch.
FED-GUI-012,FED,Safe Work Australia,guidance,Psychosocial hazards,,https://www.safeworkaustralia.gov.au/safety-topic/managing-health-and-safety/mental-health/psychosocial-hazards,false,regulator_index,HTML,,,,CURRENT,PSYCHOSOCIAL,ALL,2,n/a,CC-BY-4.0,true,,,SWA thematic hub/guidance page on psychosocial hazards (anything at work that may cause psychological harm). URL CONFIRMED exact via search snippet (parent hub: /safety-topic/managing-health-and-safety/mental-health). HTML guidance distinct from the model Code 'Managing psychosocial hazards at work' (owned by FED jurisdiction node). SWA times out on direct fetch.
FED-GUI-013,FED,Safe Work Australia,guidance,WHS duties in a contractual chain: Factsheet,,https://www.safeworkaustralia.gov.au/doc/whs-duties-contractual-chain-factsheet,false,search_snippet,PDF,2022,,,CURRENT,CONTRACTOR,"CONSTRUCTION,TRANSPORT,ALL",2,n/a,CC-BY-4.0,true,,,"SWA fact sheet on overlapping/non-delegable PCBU duties in a contractual/labour-hire chain (duties cannot be contracted out; must consult, cooperate, coordinate; discharge to extent of capacity to influence/control). URL CHANGED to the confirmed canonical /doc/ landing page (enumerator used the direct PDF /sites/default/files/2022-04/Fact%20sheet%20-%20WHS%20duties%20in%20a%20contractual%20chain%20-%202.pdf, which is also valid). Title corrected to official 'WHS duties in a contractual chain: Factsheet'. SWA times out on fetch."
FED-GUI-014,FED,Safe Work Australia,guidance,Work-related psychological health and safety: A systematic approach to meeting your duties (Archived),,https://www.safeworkaustralia.gov.au/doc/work-related-psychological-health-and-safety-systematic-approach-meeting-your-duties-archived,false,search_snippet,PDF,2018-06-07,,2019-01-21,SUPERSEDED,PSYCHOSOCIAL,ALL,3,n/a,CC-BY-4.0,true,,,"Published 7 Jun 2018, amended 21 Jan 2019. EXPLICITLY ARCHIVED by SWA — predates 2022 model WHS Regulation psychosocial amendments; SWA directs readers to the Model Code of Practice: Managing psychosocial hazards at work for current requirements. Archived status + title + URL CONFIRMED via search snippet. Retained for background/superseded context only; priority lowered to 3."
FED-GUI-015,FED,Safe Work Australia,guidance,Working at heights,,https://www.safeworkaustralia.gov.au/safety-topic/hazards/working-heights,false,search_snippet,HTML,,,,CURRENT,FALLS,"CONSTRUCTION,ALL",2,n/a,CC-BY-4.0,true,,,SWA working-at-heights guidance hub (hierarchy of control; fall-prevention devices; work-positioning systems; fall-arrest as last resort). URL CONFIRMED exact via search snippet. Thematic HTML guidance distinct from the model Codes 'Managing the risk of falls at workplaces' and 'Managing the risk of falls in housing construction' (owned by FED jurisdiction node). SWA times out on fetch.
